key,text,tag,file,type,protected_text
TM_NotEnoughMana,{0} needs more mana to cast this spell.,TM_NotEnoughMana,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> needs more mana to cast this spell.
TM_NotEnoughBlood,{0} has not sacrificed enough blood to cast this spell.,TM_NotEnoughBlood,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> has not sacrificed enough <ALIMT >blood</ALIMT> to cast this spell.
TM_NotEnoughMaxMana,{0} does not have the mana reserves to sustain {1},TM_NotEnoughMaxMana,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the mana reserves to sustain <ALIMT >(PH_1)</ALIMT>
TM_NotEnoughStamina,{0} does not have enough stamina to execute this ability.,TM_NotEnoughStamina,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> does not have enough stamina to execute this ability.
TM_NotEnoughPsionicEnergy,{0} does not have enough psionic energy for {1}.,TM_NotEnoughPsionicEnergy,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have enough psionic energy for <ALIMT >(PH_1)</ALIMT>.
TM_NotEnoughChi,{0} does not have enough ch'i to execute this ability.,TM_NotEnoughChi,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> does not have enough ch'i to execute this ability.
TM_NotEnoughEnergy,{0} does not have enough {1} to execute this ability.,TM_NotEnoughEnergy,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have enough <ALIMT >(PH_1)</ALIMT> to execute this ability.
TM_NoRequiredNeed,{0} does not have the {1} need required to execute this ability.,TM_NoRequiredNeed,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the <ALIMT >(PH_1)</ALIMT> need required to execute this ability.
TM_NoRequiredHediff,{0} does not have the {1} health effect required to execute this ability.,TM_NoRequiredHediff,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the <ALIMT >(PH_1)</ALIMT> health effect required to execute this ability.
TM_NoRequiredInspiration,{0} does not have the {1} inspiration required to execute this ability.,TM_NoRequiredInspiration,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have the <ALIMT >(PH_1)</ALIMT> inspiration required to execute this ability.
TM_NotInspired,{0} is not inspired.,TM_NotInspired,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> is not inspired.
MentalStateByPsyker,{0} overcome by a psychic assault.,MentalStateByPsyker,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> overcome by a psychic assault.
TM_InvalidTarget,{0} found no valid target for ability {1}.,TM_InvalidTarget,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> found no valid target for ability <ALIMT >(PH_1)</ALIMT>.
InvalidPortal,"Invalid portal location - target position, and all adjacent positions, must be valid and free of debris.",InvalidPortal,TM_English.xml,keyed,"Invalid portal location - target position, and all adjacent positions, must be valid and free of debris."
InvalidMine,Invalid summoned mine location - target position must be valid and free of debris.,InvalidMine,TM_English.xml,keyed,Invalid summoned mine location - target position must be valid and free of debris.
InvalidSummon,Attempted a summoning at an invalid location - target position must be valid and free of debris.,InvalidSummon,TM_English.xml,keyed,Attempted a summoning at an invalid location - target position must be valid and free of debris.
PylonDeSpawn,Mana cohesion holding a defensive pylon together has expired and the pylon has dissolved.,PylonDeSpawn,TM_English.xml,keyed,Mana cohesion holding a defensive pylon together has expired and the pylon has dissolved.
MineDeSpawn,Mana cohesion holding a mana mine together has deteriorated and the mana mine has safely dissolved.,MineDeSpawn,TM_English.xml,keyed,Mana cohesion holding a mana mine together has deteriorated and the mana mine has safely dissolved.
MinionFled,One of your minions has fled back to its plane of existence.,MinionFled,TM_English.xml,keyed,One of your minions has fled back to its plane of existence.
NotArcaneBook,Book type not recognized as arcane script!,NotArcaneBook,TM_English.xml,keyed,Book type not recognized as arcane script!
NotGiftedPawn,{0} does not have the Magically Gifted trait and cannot make use of this item.,NotGiftedPawn,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> does not have the Magically Gifted trait and cannot make use of this item.
NotCombatBook,Book type not recognized as a combat form!,NotCombatBook,TM_English.xml,keyed,Book type not recognized as a combat form!
NotPhyAdeptPawn,Pawn does not possess the Physically Adept trait and cannot learn this combat form.,NotPhyAdeptPawn,TM_English.xml,keyed,Pawn does not possess the Physically Adept trait and cannot learn this combat form.
CannotLearnSpell,Spell cannot be applied to this pawn.,CannotLearnSpell,TM_English.xml,keyed,Spell cannot be applied to this <ALIMT >(PH_1)</ALIMT>.
CannotLearnSkill,Skill cannot be applied to this pawn.,CannotLearnSkill,TM_English.xml,keyed,Skill cannot be applied to this <ALIMT >(PH_1)</ALIMT>.
NotMageToLearnSpell,Pawn is not attuned to with arcane forces and cannot learn the contents of this scroll.,NotMageToLearnSpell,TM_English.xml,keyed,Pawn is not attuned to with arcane forces and cannot learn the contents of this scroll.
NotFighterToLearnSkill,Pawn is not trained in a combat form and cannot apply the techniques from this scroll.,NotFighterToLearnSkill,TM_English.xml,keyed,Pawn is not trained in a combat form and cannot apply the techniques from this scroll.
InvalidBattery,"The spell failed, could not detect a common ground with the building (not a battery).",InvalidBattery,TM_English.xml,keyed,"The spell failed, could not detect a common ground with the building (not a battery)."
NotABuilding,Spell failed: target was not a building.,NotABuilding,TM_English.xml,keyed,Spell failed: target was not a building.
NotRightTerrainType,Unable to transform this type of land.,NotRightTerrainType,TM_English.xml,keyed,Unable to transform this type of land.
TerraformFailed,Unable to transform land.,TerraformFailed,TM_English.xml,keyed,Unable to transform land.
TerraformNotSandOrGravel,"Unable to transform land, must be sand or gravel.",TerraformNotSandOrGravel,TM_English.xml,keyed,"Unable to transform land, must be sand or gravel."
PortalCollapseFinal,Portal has collapsed!,PortalCollapseFinal,TM_English.xml,keyed,Portal has collapsed!
PortalCollapseIn,Portal collapses in {0} seconds.,PortalCollapseIn,TM_English.xml,keyed,Portal collapses in <ALIMT >(PH_1)</ALIMT> seconds.
InvalidTargetLocation,Invalid target location.,InvalidTargetLocation,TM_English.xml,keyed,Invalid target location.
MustHaveRangedWeapon,{0} does not have a valid ranged weapon equipped. {0} must equip a ranged weapon to use this skill.,MustHaveRangedWeapon,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have a valid ranged weapon equipped. <ALIMT >(PH_1)</ALIMT> must equip a ranged weapon to use this skill.
MustBeUnarmed,{0} must be unarmed to execute {1},MustBeUnarmed,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> must be unarmed to execute <ALIMT >(PH_1)</ALIMT>
MustHaveGunpowderWeapon,{0} does not have a valid ranged weapon equipped. {0} must equip a more advanced weapon to use this skill.,MustHaveGunpowderWeapon,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have a valid ranged weapon equipped. <ALIMT >(PH_1)</ALIMT> must equip a more advanced weapon to use this skill.
MustHaveMeleeWeapon,{0} does not have a valid melee weapon equipped. {0} must equip a melee weapon to use this skill.,MustHaveMeleeWeapon,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> does not have a valid melee weapon equipped. <ALIMT >(PH_1)</ALIMT> must equip a melee weapon to use this skill.
TM_ShieldBlockingPowers,{0} must unequip {1} to use this ability.,TM_ShieldBlockingPowers,TM_English.xml,keyed,<ALIMT >(PH_2)</ALIMT> must unequip <ALIMT >(PH_1)</ALIMT> to use this ability.
TM_OutOfRange,Target location is out of range.,TM_OutOfRange,TM_English.xml,keyed,Target location is out of range.
TM_OutOfLOS,"Ability failed, target was not visible to {0}.",TM_OutOfLOS,TM_English.xml,keyed,"Ability failed, target was not visible to <ALIMT >(PH_1)</ALIMT>."
TM_CureDiseaseTypeFail,Unable to cure this type of disease.,TM_CureDiseaseTypeFail,TM_English.xml,keyed,Unable to cure this type of disease.
TM_NothingToRegenerate,No valid target found for Regeneration.,TM_NothingToRegenerate,TM_English.xml,keyed,No valid target found for Regeneration.
TM_CantSummonSelf,Cannot summon self.,TM_CantSummonSelf,TM_English.xml,keyed,Cannot summon self.
TM_UndeadCollapsed,{0} does not have the mana to sustain {1}. {1} has disintegrated into mana to replenish {0}.,TM_UndeadCollapsed,TM_English.xml,keyed,<ALIMT >(PH_4)</ALIMT> does not have the mana to sustain <ALIMT >(PH_3)</ALIMT>. <ALIMT >(PH_2)</ALIMT> has disintegrated into mana to replenish <ALIMT >(PH_1)</ALIMT>.
TM_ResistedSpell,Resisted!,TM_ResistedSpell,TM_English.xml,keyed,Resisted!
TM_CannotUseOnLiving,This spell cannot be used on the living.,TM_CannotUseOnLiving,TM_English.xml,keyed,This spell cannot be used on the living.
TM_CannontConsumeCorpseType,Cannot consume this type of corpse.,TM_CannontConsumeCorpseType,TM_English.xml,keyed,Cannot consume this type of corpse.
TM_InvalidCorpseType,Corpse type is invalid for Consume Corpse.,TM_InvalidCorpseType,TM_English.xml,keyed,Corpse type is invalid for Consume Corpse.
TM_Learn,Learn {0},TM_Learn,TM_English.xml,keyed,Learn <ALIMT >(PH_1)</ALIMT>
TM_GatewayBeyondMaximumRange,Target tile is beyond reach of Gateway.,TM_GatewayBeyondMaximumRange,TM_English.xml,keyed,Target tile is beyond reach of Gateway.
TM_InvalidGatewaySelection,Invalid target tile for Gateway.,TM_InvalidGatewaySelection,TM_English.xml,keyed,Invalid target tile for Gateway.
TM_InvalidGatewayNotOccupied,Gateway can only be used on map tiles occupied by colonists.,TM_InvalidGatewayNotOccupied,TM_English.xml,keyed,Gateway can only be used on map tiles occupied by colonists.
TM_Exception,An exception has been throw by {0} while trying to cast {1} - restoring mana and exiting ability attempt.,TM_Exception,TM_English.xml,keyed,An exception has been throw by <ALIMT >(PH_2)</ALIMT> while trying to cast <ALIMT >(PH_1)</ALIMT> - restoring mana and exiting ability attempt.
TM_ExceptionClose,An exception has been thrown while trying to close {0} - ending ability.,TM_ExceptionClose,TM_English.xml,keyed,An exception has been thrown while trying to close <ALIMT >(PH_1)</ALIMT> - ending ability.
TM_ExceptionTick,An exception has been thrown during {0} - ending ability immediately.,TM_ExceptionTick,TM_English.xml,keyed,An exception has been thrown during <ALIMT >(PH_1)</ALIMT> - ending ability immediately.
TM_InvalidResurrection,{0} was unable to find a valid target for Resurrection.,TM_InvalidResurrection,TM_English.xml,keyed,<ALIMT >(PH_1)</ALIMT> was unable to find a valid target for Resurrection.
TM_ResurrectionTargetExpired,"Resurrection cannot restore this body, it has expired and can no longer sustain life.",TM_ResurrectionTargetExpired,TM_English.xml,keyed,"Resurrection cannot restore this body, it has expired and can no longer sustain life."
MustHaveBow,"{0} is armed with a {1}, {0} must use a bow to use this ability.",MustHaveBow,TM_English.xml,keyed,"<ALIMT >(PH_3)</ALIMT> is armed with a <ALIMT >(PH_2)</ALIMT>, <ALIMT >(PH_1)</ALIMT> must use a bow to use this ability."
TM_BondedAnimalRelease,The bond between {0} and {1} has ended and {0} has disappeared into the wild.,TM_BondedAnimalRelease,TM_English.xml,keyed,The bond between <ALIMT >(PH_3)</ALIMT> and <ALIMT >(PH_2)</ALIMT> has ended and <ALIMT >(PH_1)</ALIMT> has disappeared into the wild.
TM_BondedAnimalReleaseToColony,The bond between {0} and {1} has ended but {0} has chosen to remain in the colony.,TM_BondedAnimalReleaseToColony,TM_English.xml,keyed,The bond between <ALIMT >(PH_3)</ALIMT> and <ALIMT >(PH_2)</ALIMT> has ended but <ALIMT >(PH_1)</ALIMT> has chosen to remain in the colony.
