key,text,tag,file,type
TM_NotEnoughMana,{0} needs more mana to cast this spell.,TM_NotEnoughMana,TM_English.xml,keyed
TM_NotEnoughBlood,{0} has not sacrificed enough blood to cast this spell.,TM_NotEnoughBlood,TM_English.xml,keyed
TM_NotEnoughMaxMana,{0} does not have the mana reserves to sustain {1},TM_NotEnoughMaxMana,TM_English.xml,keyed
TM_NotEnoughStamina,{0} does not have enough stamina to execute this ability.,TM_NotEnoughStamina,TM_English.xml,keyed
TM_NotEnoughPsionicEnergy,{0} does not have enough psionic energy for {1}.,TM_NotEnoughPsionicEnergy,TM_English.xml,keyed
TM_NotEnoughChi,{0} does not have enough ch'i to execute this ability.,TM_NotEnoughChi,TM_English.xml,keyed
TM_NotEnoughEnergy,{0} does not have enough {1} to execute this ability.,TM_NotEnoughEnergy,TM_English.xml,keyed
TM_NoRequiredNeed,{0} does not have the {1} need required to execute this ability.,TM_NoRequiredNeed,TM_English.xml,keyed
TM_NoRequiredHediff,{0} does not have the {1} health effect required to execute this ability.,TM_NoRequiredHediff,TM_English.xml,keyed
TM_NoRequiredInspiration,{0} does not have the {1} inspiration required to execute this ability.,TM_NoRequiredInspiration,TM_English.xml,keyed
TM_NotInspired,{0} is not inspired.,TM_NotInspired,TM_English.xml,keyed
MentalStateByPsyker,{0} overcome by a psychic assault.,MentalStateByPsyker,TM_English.xml,keyed
TM_InvalidTarget,{0} found no valid target for ability {1}.,TM_InvalidTarget,TM_English.xml,keyed
InvalidPortal,"Invalid portal location - target position, and all adjacent positions, must be valid and free of debris.",InvalidPortal,TM_English.xml,keyed
InvalidMine,Invalid summoned mine location - target position must be valid and free of debris.,InvalidMine,TM_English.xml,keyed
InvalidSummon,Attempted a summoning at an invalid location - target position must be valid and free of debris.,InvalidSummon,TM_English.xml,keyed
PylonDeSpawn,Mana cohesion holding a defensive pylon together has expired and the pylon has dissolved.,PylonDeSpawn,TM_English.xml,keyed
MineDeSpawn,Mana cohesion holding a mana mine together has deteriorated and the mana mine has safely dissolved.,MineDeSpawn,TM_English.xml,keyed
MinionFled,One of your minions has fled back to its plane of existence.,MinionFled,TM_English.xml,keyed
NotArcaneBook,Book type not recognized as arcane script!,NotArcaneBook,TM_English.xml,keyed
NotGiftedPawn,{0} does not have the Magically Gifted trait and cannot make use of this item.,NotGiftedPawn,TM_English.xml,keyed
NotCombatBook,Book type not recognized as a combat form!,NotCombatBook,TM_English.xml,keyed
